transaction_id,product_id,sales_amount,sales_date
501,1008,49.48,2024-02-01
502,1005,82.11,2024-02-02
503,1005,156.01,2024-02-03
504,1001,53.98,2024-02-04
505,1007,456.3,2024-02-05
506,1002,12.96,2024-02-06
507,1006,247.09,2024-02-07
508,1004,70.39,2024-02-08
509,1002,160.76,2024-02-09
510,1000,463.77,2024-02-10
511,1007,89.23,2024-02-11
512,1002,483.26,2024-02-12
513,1001,110.84,2024-02-13
514,1000,373.37,2024-02-14
515,1003,277.87,2024-02-15
516,1007,443.39,2024-02-16
517,1002,281.46,2024-02-17
518,1000,271.93,2024-02-18
519,1003,105.77,2024-02-19
520,1008,91.45,2024-02-20
521,1000,459.08,2024-02-21
522,1001,170.64,2024-02-22
523,1008,192.32,2024-02-23
524,1001,382.31,2024-02-24
525,1002,176.02,2024-02-25
526,1006,476.51,2024-02-26
527,1002,371.58,2024-02-27
528,1008,302.74,2024-02-28
529,1005,441.64,2024-02-29
530,1002,34.31,2024-03-01
531,1008,135.96,2024-03-02
532,1000,237.87,2024-03-03
533,1009,121.22,2024-03-04
534,1002,374.51,2024-03-05
535,1000,460.41,2024-03-06
536,1001,217.65,2024-03-07
537,1007,177.64,2024-03-08
538,1006,481.16,2024-03-09
539,1001,227.98,2024-03-10
540,1001,249.63,2024-03-11
541,1008,182.31,2024-03-12
542,1005,455.68,2024-03-13
543,1004,288.79,2024-03-14
544,1009,383.47,2024-03-15
545,1005,407.79,2024-03-16
546,1008,177.51,2024-03-17
547,1006,222.51,2024-03-18
548,1009,425.75,2024-03-19
549,1009,188.0,2024-03-20
550,1008,399.03,2024-03-21
551,1003,471.09,2024-03-22
552,1001,315.37,2024-03-23
553,1007,373.4,2024-03-24
554,1003,404.5,2024-03-25
555,1008,424.07,2024-03-26
556,1003,203.58,2024-03-27
557,1007,35.12,2024-03-28
558,1008,206.92,2024-03-29
559,1008,340.14,2024-03-30
560,1009,230.67,2024-03-31
561,1003,376.99,2024-04-01
562,1000,184.92,2024-04-02
563,1002,321.02,2024-04-03
564,1008,101.35,2024-04-04
565,1003,377.19,2024-04-05
566,1004,277.39,2024-04-06
567,1006,109.99,2024-04-07
568,1004,153.04,2024-04-08
569,1003,376.82,2024-04-09
570,1001,246.47,2024-04-10
571,1001,115.86,2024-04-11
572,1003,483.96,2024-04-12
573,1009,360.41,2024-04-13
574,1009,479.0,2024-04-14
575,1008,219.28,2024-04-15
576,1007,242.8,2024-04-16
577,1002,450.0,2024-04-17
578,1008,267.27,2024-04-18
579,1004,356.57,2024-04-19
580,1002,133.56,2024-04-20
581,1004,228.9,2024-04-21
582,1009,70.49,2024-04-22
583,1003,110.93,2024-04-23
584,1007,10.46,2024-04-24
585,1004,29.24,2024-04-25
586,1009,488.87,2024-04-26
587,1007,128.75,2024-04-27
588,1008,335.02,2024-04-28
589,1003,421.16,2024-04-29
