transaction_id,product_id,sales_amount,sales_date
1001,1006,302.06,2024-03-01
1002,1003,62.65,2024-03-02
1003,1001,18.29,2024-03-03
1004,1005,455.69,2024-03-04
1005,1008,142.12,2024-03-05
1006,1008,411.64,2024-03-06
1007,1007,499.68,2024-03-07
1008,1002,113.6,2024-03-08
1009,1002,139.93,2024-03-09
1010,1001,334.8,2024-03-10
1011,1004,483.07,2024-03-11
1012,1003,458.75,2024-03-12
1013,1006,256.41,2024-03-13
1014,1003,399.6,2024-03-14
1015,1008,76.52,2024-03-15
1016,1001,488.94,2024-03-16
1017,1005,482.53,2024-03-17
1018,1006,90.23,2024-03-18
1019,1003,156.72,2024-03-19
1020,1005,59.08,2024-03-20
1021,1006,143.14,2024-03-21
1022,1003,409.82,2024-03-22
1023,1007,195.37,2024-03-23
1024,1008,53.31,2024-03-24
1025,1000,177.69,2024-03-25
1026,1006,490.88,2024-03-26
1027,1008,318.54,2024-03-27
1028,1009,213.92,2024-03-28
1029,1004,91.6,2024-03-29
1030,1001,493.23,2024-03-30
1031,1009,412.22,2024-03-31
1032,1005,147.92,2024-04-01
1033,1006,44.33,2024-04-02
1034,1001,37.75,2024-04-03
1035,1001,68.99,2024-04-04
1036,1009,294.58,2024-04-05
1037,1009,465.09,2024-04-06
1038,1000,253.4,2024-04-07
1039,1003,423.04,2024-04-08
1040,1006,228.48,2024-04-09
1041,1008,357.21,2024-04-10
1042,1002,368.62,2024-04-11
1043,1006,95.24,2024-04-12
1044,1006,187.0,2024-04-13
1045,1006,322.28,2024-04-14
1046,1001,44.64,2024-04-15
1047,1005,187.15,2024-04-16
1048,1001,272.05,2024-04-17
1049,1005,498.15,2024-04-18
1050,1009,242.52,2024-04-19
1051,1002,409.87,2024-04-20
1052,1001,221.71,2024-04-21
1053,1005,400.23,2024-04-22
1054,1001,301.75,2024-04-23
1055,1004,444.43,2024-04-24
1056,1001,211.36,2024-04-25
1057,1002,306.11,2024-04-26
1058,1002,318.71,2024-04-27
1059,1005,214.52,2024-04-28
1060,1005,80.71,2024-04-29
1061,1009,55.84,2024-04-30
1062,1002,18.17,2024-05-01
1063,1002,438.03,2024-05-02
1064,1000,125.87,2024-05-03
1065,1006,113.64,2024-05-04
1066,1007,370.66,2024-05-05
1067,1001,166.81,2024-05-06
1068,1003,257.96,2024-05-07
1069,1009,89.63,2024-05-08
1070,1006,480.28,2024-05-09
1071,1007,427.27,2024-05-10
1072,1000,433.26,2024-05-11
1073,1003,209.32,2024-05-12
1074,1005,383.56,2024-05-13
1075,1002,80.5,2024-05-14
1076,1004,14.22,2024-05-15
1077,1009,19.79,2024-05-16
1078,1008,297.43,2024-05-17
1079,1002,233.14,2024-05-18
1080,1004,263.83,2024-05-19
1081,1007,13.66,2024-05-20
1082,1005,217.12,2024-05-21
1083,1003,361.85,2024-05-22
1084,1007,226.92,2024-05-23
1085,1002,368.79,2024-05-24
1086,1002,124.18,2024-05-25
1087,1003,408.44,2024-05-26
1088,1008,298.33,2024-05-27
1089,1004,113.27,2024-05-28
1090,1007,125.99,2024-05-29
1091,1005,317.73,2024-05-30
1092,1002,416.67,2024-05-31
1093,1007,213.66,2024-06-01
1094,1008,136.57,2024-06-02
1095,1007,434.84,2024-06-03
1096,1003,337.94,2024-06-04
1097,1005,229.56,2024-06-05
1098,1000,249.07,2024-06-06
1099,1003,110.09,2024-06-07
1100,1007,317.13,2024-06-08
1101,1000,185.78,2024-06-09
1102,1002,497.87,2024-06-10
1103,1000,245.29,2024-06-11
1104,1008,248.08,2024-06-12
1105,1001,287.27,2024-06-13
1106,1008,459.21,2024-06-14
1107,1003,402.4,2024-06-15
1108,1001,231.05,2024-06-16
1109,1003,362.16,2024-06-17
1110,1009,297.26,2024-06-18
1111,1005,251.26,2024-06-19
1112,1006,104.23,2024-06-20
1113,1002,237.33,2024-06-21
1114,1002,130.45,2024-06-22
1115,1009,458.27,2024-06-23
1116,1007,174.35,2024-06-24
1117,1004,476.61,2024-06-25
1118,1003,271.2,2024-06-26
1119,1006,319.46,2024-06-27
1120,1006,276.04,2024-06-28
1121,1008,73.4,2024-06-29
1122,1008,194.15,2024-06-30
1123,1004,58.58,2024-07-01
1124,1007,315.25,2024-07-02
1125,1009,228.97,2024-07-03
1126,1000,391.21,2024-07-04
1127,1008,118.03,2024-07-05
1128,1007,90.64,2024-07-06
1129,1005,209.1,2024-07-07
1130,1002,464.03,2024-07-08
1131,1002,358.11,2024-07-09
1132,1007,215.27,2024-07-10
1133,1004,263.46,2024-07-11
1134,1009,51.26,2024-07-12
1135,1006,492.44,2024-07-13
1136,1004,336.54,2024-07-14
1137,1007,149.85,2024-07-15
1138,1009,297.05,2024-07-16
1139,1009,63.65,2024-07-17
1140,1003,483.26,2024-07-18
1141,1001,95.64,2024-07-19
1142,1002,327.53,2024-07-20
1143,1007,130.27,2024-07-21
1144,1006,361.61,2024-07-22
1145,1001,390.64,2024-07-23
1146,1005,339.98,2024-07-24
1147,1008,311.1,2024-07-25
1148,1003,447.31,2024-07-26
1149,1008,48.53,2024-07-27
1150,1001,172.15,2024-07-28
1151,1001,131.66,2024-07-29
1152,1008,494.13,2024-07-30
1153,1006,200.8,2024-07-31
1154,1006,368.98,2024-08-01
1155,1000,345.52,2024-08-02
1156,1005,113.92,2024-08-03
1157,1006,127.11,2024-08-04
1158,1005,147.83,2024-08-05
1159,1005,211.45,2024-08-06
1160,1001,124.82,2024-08-07
1161,1005,19.63,2024-08-08
1162,1003,440.9,2024-08-09
1163,1008,483.15,2024-08-10
1164,1000,177.37,2024-08-11
1165,1007,175.87,2024-08-12
1166,1004,13.47,2024-08-13
1167,1000,343.32,2024-08-14
1168,1003,414.47,2024-08-15
1169,1000,81.84,2024-08-16
1170,1005,88.24,2024-08-17
1171,1001,397.14,2024-08-18
1172,1004,311.98,2024-08-19
1173,1006,31.98,2024-08-20
1174,1001,315.05,2024-08-21
1175,1005,161.37,2024-08-22
1176,1005,190.68,2024-08-23
1177,1004,387.17,2024-08-24
1178,1004,407.36,2024-08-25
1179,1002,206.17,2024-08-26
1180,1009,474.1,2024-08-27
1181,1009,209.17,2024-08-28
1182,1001,388.2,2024-08-29
1183,1006,247.1,2024-08-30
1184,1000,449.79,2024-08-31
1185,1005,454.8,2024-09-01
1186,1005,52.83,2024-09-02
1187,1002,468.88,2024-09-03
1188,1001,414.51,2024-09-04
1189,1001,397.74,2024-09-05
1190,1008,108.45,2024-09-06
1191,1004,404.51,2024-09-07
1192,1006,426.57,2024-09-08
1193,1004,151.68,2024-09-09
1194,1006,476.61,2024-09-10
1195,1003,34.43,2024-09-11
1196,1007,83.46,2024-09-12
1197,1009,273.41,2024-09-13
1198,1009,292.14,2024-09-14
1199,1006,326.12,2024-09-15
1200,1009,18.31,2024-09-16
1201,1004,480.58,2024-09-17
1202,1005,31.85,2024-09-18
1203,1004,80.1,2024-09-19
1204,1006,16.87,2024-09-20
1205,1001,287.76,2024-09-21
1206,1004,466.81,2024-09-22
1207,1009,336.31,2024-09-23
1208,1002,413.1,2024-09-24
1209,1008,16.51,2024-09-25
1210,1005,275.59,2024-09-26
